0,3
0,4
0,10
0,19
0,23
0,27
0,32
0,33
0,38
0,52
0,58
1,2
1,3
1,4
1,6
1,10
1,13
1,20
1,30
1,31
1,32
1,36
1,44
1,50
1,51
1,57
2,5
2,9
2,13
2,20
2,33
2,39
2,40
2,42
2,51
2,53
3,6
3,7
3,12
3,25
3,29
3,37
3,49
3,50
3,55
3,56
4,0
4,1
4,5
4,7
4,10
4,11
4,13
4,14
4,15
4,17
4,19
4,20
4,21
4,22
4,23
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
5,0
5,2
5,4
5,9
5,13
5,17
5,25
5,31
5,37
5,39
5,43
5,51
5,53
5,54
6,1
6,3
6,5
6,10
6,13
6,18
6,22
6,23
6,25
6,26
6,27
6,28
6,29
6,30
6,32
6,34
6,35
6,36
6,38
6,41
6,44
6,45
6,48
6,51
6,57
6,58
7,5
7,28
7,46
7,50
7,51
8,39
8,53
8,54
9,2
9,6
9,13
9,14
9,16
9,19
9,21
9,33
9,34
9,39
9,52
9,58
9,59
10,1
10,11
10,28
10,34
10,38
10,39
10,57
10,58
11,1
11,7
11,12
11,24
11,25
11,26
11,29
11,32
11,34
11,38
11,49
11,50
11,55
11,57
12,3
12,7
12,8
12,11
12,14
12,24
12,25
12,28
12,29
12,34
12,46
12,49
12,50
12,51
12,57
13,2
13,5
13,9
13,58
14,5
14,10
14,15
14,50
15,5
15,11
15,13
15,14
15,20
15,25
15,31
15,46
16,27
16,53
16,54
17,1
17,2
17,4
17,5
17,7
17,13
17,18
17,20
17,25
17,28
17,30
17,31
17,36
17,37
17,38
17,39
17,40
17,41
17,42
17,44
17,46
17,51
17,53
17,54
17,56
17,57
17,58
18,7
18,10
18,11
18,12
18,14
18,19
18,21
18,22
18,23
18,25
18,26
18,27
18,29
18,33
18,34
18,35
18,40
18,42
18,43
18,45
18,47
18,49
18,54
18,55
18,59
19,8
19,9
19,10
19,13
19,14
19,17
19,20
19,30
19,33
19,35
19,39
19,40
19,42
19,43
19,48
19,54
19,58
20,1
20,2
20,5
20,7
20,8
20,16
20,17
20,19
20,26
20,28
20,30
20,37
20,38
20,40
20,41
20,42
20,46
20,48
20,50
20,51
20,53
20,54
20,57
20,58
21,0
21,3
21,11
21,18
21,19
21,22
21,24
21,33
21,45
21,46
22,3
22,10
22,11
22,14
22,15
22,18
22,19
22,21
22,23
22,24
22,25
22,29
22,30
22,32
22,33
22,34
22,39
22,40
22,42
22,43
22,44
22,45
22,46
22,47
22,48
22,49
22,50
22,52
22,53
22,54
22,55
22,57
22,58
22,59
23,0
23,6
23,18
23,19
23,29
